Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Danish pastry, fruit (11cm diam)",1,71,263,1102,4,34,20,1.3,13,3.5,81,33,1.3,251,59,11,63,,,,
"Date squares, homemade",1 square,61,226,944,3,37,,2.3,8,4.7,20,21,2,241,154,23,61,,,,
"Doughnut, cake-type, plain (8cm diam)",1,47,198,828,2,23,11,0.7,11,1.7,17,21,0.9,257,60,9,126,,,,
"Doughnut, cake-type, plain, chocolate coated (9cm diam)",1,57,270,1130,3,27,13,1.1,18,4.6,35,20,1.4,245,112,23,115,,,,
"Doughnut, yeast-leavened, honey bun, glazed (9cm x 6cm)",1,60,242,1011,4,27,14,0.7,14,3.5,4,26,1.2,205,65,13,56,,,,
"Doughnut, yeast-leavened, jelly filled (9cm X 6cm)",1,85,289,1209,5,33,18,0.8,16,4.1,22,21,1.5,249,67,17,72,,,,
"Eclairs, custard filled, chocolate glaze",1,100,262,1096,6,24,7,0.6,16,4.1,127,63,1.2,337,117,15,107,,,,
"Rice Krispies SquaresTM, commercial",1 square,22,91,381,1,18,,0.1,2,0.3,0,1,0.3,77,9,3,9,,,,
"Toaster pastries (Pop-TartsTM), brown sugar & cinnamon",1,50,206,862,3,34,,0.5,7,1.8,0,17,2,212,57,12,67,,,,
"Toaster pastries (Pop-TartsTM), fruit, frosted",1,55,215,900,2,39,20,0.4,6,1.5,0,16,3.9,387,81,13,75,,,,
,,,,,,,,,,,,,,,,,,,,,
BEVERAGES,,,,,,,,,,,,,,,,,,,,,
"COFFEE, TEA AND SUSTITUTES",,,,,,,,,,,,,,,,,,,,,
"Chai, latte",250mL,242,149,624,5,26,26,0,3,2,13,186,0.1,67,263,19,150,88,tr,0,13
"Coffee, brewed",250mL,250,2.5,10,tr,0,0,0,tr,tr,0,5,tr,5,123,8,8,0,0,0,100
"Coffee, brewed, decaffeinated",250mL,251,2.5,10,tr,0,0,0,0,0,0,5,0.1,5,135,13,3,0,0,0,3
"Coffee, instant, regular, powder + water",250mL,253,5,20,tr,1,0,0,tr,tr,0,10,0.1,5,76,8,8,0,0,0,66
"Coffee, latte",250mL,256,101,420,5,7,9,0,6,3.5,16,188,0.2,79,340,89,156,46,tr,0,193
"Coffee, substitute, powder + water",250mL,254,13,53,tr,3,tr,0.8,tr,tr,0,8,0.2,8,79,10,18,0,0,0,0
Iced cappuccino - original - with cream (Tim HortonsTM),250mL, ,211,886,2,28,28,0,9,5,38,80,0.3,42,,,,,0,,
Iced cappuccino - with 2% milk (Tim HortonsTM),250mL, ,127,533,3,27,27,0,1,1,4,70,0.3,30,,,,,0,,
"Iced coffee, Frappuccino (StarbucksTM)",250mL,,127,533,3,26,22,0,2,1,7,110,0,120,,,,,0,,60
"Iced tea, lemon flavor, ready-to-drink",250mL,254,91,383,0,23,23,0,0,0,0,,,53,,,,0,,0,
"Iced tea, lemon flavour, powder + water",250mL,274,93,389,tr,23,23,0,tr,tr,0,5,0.1,8,52,5,3,0,tr,0,30
"Tea, brewed",250mL,250,3,10,0,1,0,0,tr,tr,0,0,0.1,8,93,8,3,0,0,0,50
"Tea, brewed, herbal",250mL,250,3,10,0,1,0,0,tr,tr,0,5,0.2,3,23,3,0,0,0,0,0
CARBONATED DRINKS,,,,,,,,,,,,,,,,,,,,,
Club soda,250mL,250,0,0,0,0,0,0,0,0,0,13,tr,53,5,3,0,0,0,0,0
Cola,250mL,262,110,461,tr,28,24,0,0,0,0,8,0.1,10,3,3,34,0,0,0,26
"Cola, aspartame sweetened",250mL,250,3,10,tr,tr,0,0,0,0,0,8,0.1,13,15,3,28,0,0,0,35
"Cola, decaffeinated",250mL,262,107,448,0,28,28,0,0,0,0,5,0.1,10,8,0,29,0,0,0,0
Ginger ale,250mL,258,88,366,0,23,22,0,0,0,0,8,0.5,18,3,3,0,0,0,0,0
Lemon-lime soda,250mL,260,104,433,0,27,23,0,0,0,0,5,0.2,29,3,3,0,0,0,0,0
"Non cola soda, aspartame sweetened",250mL,250,0,0,0,tr,0,0,0,0,0,10,0.1,40,5,3,0,0,0,0,0
Orange soda,250mL,262,126,527,0,32,,0,0,0,0,13,0.2,31,5,3,3,0,0,0,0
Tonic water,250mL,258,124,520,0,32,32,0,0,0,0,4,tr,15,0,0,0,0,0,0,0
FRUIT FLAVOURED DRINKS,,,,,,,,,,,,,,,,,,,,,
"Citrus juice drink, frozen, diluted (Five AliveTM)",250mL,262,131,548,tr,32,30,0.3,tr,0,0,13,1.8,5,128,10,10,3,38,0,0
