Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
Chicken fried rice,250ml,209,343,1436,12,44,1,1.3,13,1.8,99,36,1.3,797,169,28,139,59,4,,
Egg roll,1,64,113,472,5,9,1,0.7,6,1.2,35,14,0.8,249,121,9,53,17,2,,
General Tao/Tso chicken,250ml,258,806,3371,50,8,3,0.6,62,11,163,39,2.2,1285,476,47,340,38,11,,
Hot and sour soup,250mL,258,167,697,17,5,1,0.5,8,2.8,36,45,1.8,1596,383,20,192,2,1,,
Sweet and sour chicken balls,3,75,199,831,9,17,7,0.5,10,2.7,46,24,1,390,90,13,23,18,1,,
Won ton soup,250mL,255,191,798,15,15,1,1,7,2.4,53,37,1.8,810,339,23,159,74,2,,
PIZZA,,,,,,,,,,,,,,,,,,,,,
Pizza with cheese (medium - 12 inches),1/6 ,84,210,880,9,25,2,1.5,8,3.4,14,171,2,515,180,19,161,32,4,,
Pizza with cheese and pepperoni (medium - 12 inches),1/6 ,85,219,916,11,23,1,1.4,9,4.2,21,187,1.7,340,157,18,182,37,2,,
Pizza with cheese and vegetables (medium - 12 inches),1/6 ,93,193,809,8,24,3,1.8,7,3,12,154,1.9,482,201,19,147,31,11,,
"Pizza with cheese, meat and vegetables (medium - 12 inches)",1/6 ,105,250,1044,11,24,3,1.9,12,4.8,24,159,2.1,629,237,21,168,31,11,,
OTHER,,,,,,,,,,,,,,,,,,,,,
"Chicken, breaded and fried (pieces)",2 pieces,98,283,1184,22,9,0,0.3,17,4.6,85,20,1.3,286,181,20,151,0,0,,
"Chicken, breaded and fried, boneless (nuggets)",6,96,285,1192,15,16,1,0.9,18,3.9,53,13,0.8,551,251,24,277,5,1,,
Chili con carne,250ml,267,270,1128,26,23,,4.9,9,3.6,142,72,5.5,1064,730,48,209,88,2,,
Corndog (PogoTM),1,175,460,1925,17,56,,2.6,19,5.2,79,102,6.2,973,263,18,166,60,0,,
"Hot-dog, plain",1,98,242,1012,10,18,,0.9,15,5.1,44,24,2.3,670,143,13,97,0,tr,,
,,,,,,,,,,,,,,,,,,,,,
FATS AND OILS,,,,,,,,,,,,,,,,,,,,,
BUTTER AND MARGARINE,,,,,,,,,,,,,,,,,,,,,
"Becel, tub, calorie-reduced, canola and safflower oils (non-hydrogenated)",5mL,5,17,70,tr,tr,,,2,0.3,0,1,0,46,1,tr,1,48,,,
"Becel, tub, canola and safflower oils (non-hydrogenated)",5mL,5,34,144,tr,tr,,,4,0.5,0,1,0,52,2,tr,1,48,,,
Butter,5mL,5,34,144,tr,tr,,,4,2.5,10,1,tr,28,1,tr,1,33,,,
"Chefmaster, tub, unspecified vegetable oils (hydrogenated)",5mL,5,34,144,tr,tr,,,4,0.5,0,1,0,52,2,tr,1,48,,,
"Imperial, stick, soy and canola oils (hydrogenated)",5mL,5,34,141,tr,tr,,,4,0.5,0,tr,tr,31,1,tr,tr,48,,,
"Imperial, tub, soya oil (non-hydrogenated)",5mL,5,34,144,tr,tr,,,4,0.9,0,1,0,52,2,tr,1,48,,,
"Lactantia, tub, soya oil (hydrogenated)",5mL,5,34,144,tr,tr,,,4,0.7,0,1,0,52,2,tr,1,48,,,
"Margarine, tub, composite",5mL,5,34,144,tr,tr,,,4,0.6,0,1,0,52,2,tr,1,48,,,
Spread (20% butter / 80% margarine),5mL,5,34,141,tr,tr,,,4,1,2,1,tr,43,2,tr,1,47,,,
Spread (50% butter / 50% margarine),5mL,5,33,137,tr,tr,,,4,1.5,5,1,tr,40,2,tr,1,16,,,
OILS,,,,,,,,,,,,,,,,,,,,,
Canola,15mL,14,125,525,0,0,,,14,1,0,0,0,0,0,0,0,0,,,
Corn,15mL,14,122,510,0,0,,,14,1.8,0,0,0,0,0,0,0,0,,,
Flaxseed,15mL,14,122,511,0,0,,,14,1.4,0,0,0,0,0,0,0,0,,,
Grapeseed,15mL,14,122,510,0,0,,,14,1.3,0,0,0,0,0,0,0,0,,,
Olive,15mL,14,121,506,0,0,,,14,1.8,0,tr,0.1,tr,0,0,0,0,,,
Peanut,15mL,14,121,506,0,0,,,14,2.3,0,0,tr,0,0,0,0,0,,,
Sesame,15mL,14,122,510,0,0,,,14,2,0,0,0,0,0,0,0,0,,,
Soybean,15mL,14,122,510,0,0,,,14,2,0,0,tr,0,0,0,0,0,,,
Sunflower,15mL,14,122,510,0,0,,,14,1.4,0,0,0,0,0,0,0,0,,,
OTHER,,,,,,,,,,,,,,,,,,,,,
Bacon grease,15mL,12,110,459,0,0,,,12,4.8,12,0,0,18,0,0,0,0,,,
Lard,15mL,13,117,489,0,0,,,13,5.2,12,0,0,0,0,0,0,0,,,
Shortening,15mL,13,115,481,0,0,,,13,3.2,0,tr,tr,1,0,0,0,0,,,
SALAD DRESSINGS,,,,,,,,,,,,,,,,,,,,,
Blue cheese,15mL,16,78,327,1,1,,,8,1.5,3,13,tr,170,6,0,11,10,,,
"Blue cheese, low Calorie",15mL,16,15,64,1,tr,,,1,0.4,tr,14,0.1,186,1,1,13,,,,
Creamy Caesar,15mL,15,79,329,tr,tr,,,9,1.3,tr,4,tr,161,4,tr,3,tr,,,
"Creamy Caesar, low Calorie",15mL,15,17,70,tr,3,,,1,0.1,tr,4,tr,164,4,tr,3,tr,,,
"Creamy dressing, fat-free",15mL,16,21,90,tr,5,,,tr,tr,0,1,0.1,130,14,tr,0,tr,,,
French,15mL,16,72,303,tr,2,,,7,0.9,0,4,0.1,133,11,1,3,4,,,
"French, low fat",15mL,16,33,138,tr,4,,,2,0.3,0,2,0.1,165,13,0,2,2,,,
Italian,15mL,15,43,181,tr,2,,,4,0.7,0,1,0.1,246,7,tr,1,2,,,
"Italian, low Calorie",15mL,15,11,48,tr,1,,,1,0.1,1,1,0.1,208,13,1,2,tr,,,
Mayonnaise,15mL,14,100,419,tr,1,,,11,1.7,5,3,0.1,79,5,tr,4,11,,,
"Mayonnaise, light",15mL,16,51,215,tr,1,,,5,0.8,6,1,0.1,107,6,tr,6,3,,,
"Non creamy dressing, fat-free",15mL,15,7,29,tr,1,,,tr,tr,tr,4,0.1,165,15,1,16,tr,,,
Oil and vinegar,15mL,16,73,305,0,tr,,,8,1.5,0,0,0,tr,1,0,0,0,,,
Ranch,15mL,15,71,297,tr,1,,,8,1.2,5,5,0.1,120,9,1,24,1,,,
"Ranch, low fat",15mL,16,36,149,tr,3,,,3,0.2,3,20,0.1,151,21,1,31,3,,,
"Salad dressing, mayonnaise type",15mL,15,58,243,tr,4,,,5,0.7,4,2,tr,106,1,tr,4,3,,,
"Salad dressing, mayonnaise type, fat-free",15mL,16,14,57,tr,3,,,tr,0.1,1,1,tr,128,8,tr,1,0,,,
"Salad dressing, mayonnaise type, light",15mL,15,44,184,0,2,,,4,0.2,0,tr,0,117,0,0,,3,,,
Thousand Island,15mL,16,59,245,tr,2,,,6,0.8,4,3,0.2,137,17,1,4,2,,,
"Thousand Island, low Calorie",15mL,16,32,132,tr,3,,,2,0.1,tr,2,0.1,129,31,1,2,2,,,
,,,,,,,,,,,,,,,,,,,,,
FISH AND SHELLFISH,,,,,,,,,,,,,,,,,,,,,
FISH,,,,,,,,,,,,,,,,,,,,,
"Anchovies, canned in oil, drained solids",2,8,17,70,2,0,,,1,0.2,7,19,0.4,293,44,,20,1,,,
"Arctic char, boiled",75g,75,119,496,20,0,,,4,0.7,,23,0.4,38,,,188,68,,,
"Bass, mixed species, baked or broiled",75g,75,110,458,18,0,,,4,0.8,65,77,1.4,68,342,,192,26,,,
"Burbot (loche), raw",90g,90,71,297,16,0,,,1,0.1,54,22,0.3,63,288,,171,5,,,
"Catfish, channel, farmed, baked or broiled",75g,75,114,477,14,0,,,6,1.3,48,7,0.6,60,241,,184,11,,,
"Cisco (lake herring, tullibee), baked or broiled",75g,75,98,408,17,0,,,3,,,38,0.5,38,312,,188,0,,,
"Cisco (lake herring, tullibee), raw",90g,90,88,369,17,0,,,2,1.1,45,10,0.4,50,319,,137,27,,,
"Cod, Atlantic, baked or broiled",75g,75,79,329,17,0,,,1,0.1,41,11,0.4,59,183,,104,11,,,
"Cod, Atlantic, dried and salted, soaked in water",75g,75,62,259,13,0,,,1,0.1,32,35,0.5,1353,265,,183,9,,,
Gefiltefish,75g,75,63,263,7,6,,,1,0.3,23,17,1.9,393,68,,55,20,,,
"Grayling, baked or broiled",75g,75,80,332,17,0,,,1,,,29,0.5,,,,,,,,
"Haddock, baked or broiled",75g,75,84,351,18,0,,,1,0.1,56,32,1,65,299,,181,14,,,
"Halibut, Atlantic and Pacific, baked or broiled",75g,75,105,439,20,0,,,2,0.3,31,45,0.8,52,432,,214,41,,,
"Herring, Atlantic, kippered",75g,75,163,680,18,0,,,9,2.1,62,63,1.1,689,335,,244,30,,,
"Mackerel, Atlantic, baked or broiled",75g,75,197,822,18,0,,,13,3.1,56,11,1.2,62,301,,209,41,,,
"Ocean Perch, Atlantic, baked or broiled",75g,75,91,380,18,0,,,2,0.2,41,103,0.9,72,263,,208,11,,,
"Pickerel (Walleye), baked or broiled",75g,75,89,374,18,0,,,1,0.2,83,106,1.3,49,374,,202,18,,,
"Pike, northern, baked or broiled",75g,75,71,298,16,0,,,1,0.2,38,33,0.3,23,323,,180,1,,,
"Pollock, Atlantic, baked or broiled",75g,75,89,370,19,0,,,1,0.1,68,58,0.4,83,342,,212,9,,,
"Salmon, Atlantic, farmed, baked or broiled",75g,75,155,646,17,0,,,9,1.9,47,11,0.3,46,288,,189,11,,,
"Salmon, chum (keta), baked or broiled",75g,75,116,483,19,0,,,4,0.8,71,11,0.5,48,413,,272,26,,,
"Salmon, chum (keta), canned, drained solids with bone, salted",75g,75,106,443,16,0,,,4,1.1,29,187,0.5,365,225,,266,14,,,
"Salmon, chum (keta), canned, drained solids with bone, unsalted",75g,75,106,443,16,0,,,4,1.1,29,187,0.5,56,225,,266,14,,,
"Salmon, coho, farmed, baked or broiled",75g,75,134,558,18,0,,,6,1.5,47,9,0.3,39,345,,249,44,,,
"Salmon, eggs, raw",90g,90,116,485,24,0,,,9,2.1,,11,0.6,45,369,,198,,,,
"Salmon, king or chinook, smoked, canned",75g,75,113,470,17,1,,,4,,,45,1.4,,,,,72,,,
"Salmon, pink, canned, drained solids with bone",75g,75,102,427,17,0,,,4,0.6,62,208,0.7,299,233,,274,17,,,
"Salmon, smoked",2 pieces,40,47,196,7,0,,,2,0.4,9,4,0.3,314,70,,66,10,,,
"Salmon, smoked, lox",2 pieces,40,47,196,7,0,,,2,0.4,9,4,0.3,800,70,,66,10,,,
"Salmon, sockeye, baked or broiled",75g,75,162,677,20,0,,,8,1.4,65,5,0.4,50,281,,207,47,,,
"Sardines, Atlantic, canned in oil, drained solids with bones",1 can,106,220,922,26,0,,,12,1.6,151,405,3.1,535,421,,519,34,,,
"Sardines, Pacific, canned in tomato sauce, drained with bones",1 can,106,197,825,22,1,,,11,2.8,65,254,2.4,439,361,,388,36,,,
"Smelt, breaded and fried",5,80,201,840,17,10,,,10,2.5,79,31,1,,332,,246,20,,,
"Snapper, mixed species, baked or broiled",75g,75,96,401,20,0,,,1,0.3,35,30,0.2,43,392,,151,26,,,
"Sole (flatfish), baked or broiled",75g,75,88,367,18,0,,,1,0.3,51,14,0.3,79,258,,217,10,,,
"Trout, rainbow, farmed, baked or broiled",75g,75,127,530,18,0,,,5,1.6,51,65,0.2,32,331,,200,65,,,
"Tuna, light, canned in water, drained, salted",75g,75,87,364,19,0,,,1,0.2,23,8,1.1,254,178,,122,13,,,
"Tuna, light, canned with oil, drained, salted",75g,75,149,621,22,0,,,6,1.2,14,10,1,266,155,,233,17,,,
"Turbot, baked or broiled",75g,75,92,383,15,0,,,3,,47,17,0.3,144,229,,124,9,,,
"Whitefish, lake, native, baked",75g,75,100,417,17,0,,,3,0.9,58,12,0.3,33,294,,168,8,,,
SHELLFISH,,,,,,,,,,,,,,,,,,,,,
"Clams, mixed species, boiled or steamed",5 large,60,89,371,15,3,,,1,0.1,40,55,16.8,67,377,,203,103,,,
"Clams, mixed species, canned, drained solids",125mL,85,125,523,22,4,,,2,0.2,57,78,23.6,95,531,,286,153,,,
"Crab, canned, drained",125mL,71,71,295,15,0,,,1,0.2,63,72,0.6,238,267,,185,1,,,
"Crab, snow, boiled or steamed",125mL,62,72,300,15,0,,,1,0.1,44,21,1.8,431,125,,80,32,,,
"Crayfish, mixed species, farmed, boiled or steamed",4 medium,60,52,218,11,0,,,1,0.1,82,31,0.7,58,143,,145,9,,,
"Lobster, boiled or steamed",125mL,77,75,314,16,1,,,tr,0.1,55,47,0.3,291,270,,142,20,,,
"Mussels, boiled or steamed",15 small,75,129,539,18,6,,,3,0.6,42,25,5,277,201,,214,68,,,
"Oysters, boiled or steamed",6 medium,42,58,241,6,3,,,2,0.6,44,38,5,177,118,,85,23,,,
"Oysters, canned, solids and liquid",125mL,131,90,379,9,5,,,3,0.8,72,59,8.8,147,300,,182,118,,,
"Oysters, raw",6 medium,84,50,207,4,5,,,1,0.4,21,37,4.9,150,104,,78,7,,,
"Scallops, cooked, steamed",6 medium,78,87,365,18,0,,,1,0.1,41,90,2.3,207,371,,264,23,,,
"Shrimp, boiled or steamed",6 medium,30,30,124,6,0,,,tr,0.1,59,12,0.9,67,55,,41,20,,,
FISH PRODUCTS,,,,,,,,,,,,,,,,,,,,,
"Calamari, breaded and fried",125mL,79,156,651,14,9,,,7,1.7,197,45,1,303,216,,194,17,,,
"Caviar, black or red",15mL,16,41,171,4,1,,,3,0.7,95,45,1.9,243,29,,58,91,,,
Crab cake,1,60,93,389,12,tr,,,5,0.9,90,63,0.6,198,194,,128,34,,,
"Crab, imitation, made from surimi",125mL,67,68,284,8,7,,,1,0.2,13,9,0.3,560,60,,188,13,,,
Fish cake,1,120,240,1004,16,15,,,12,3.3,63,30,0.8,290,526,,201,28,,,
"Fish fillet, battered and fried",1,134,265,1108,22,9,,,15,3.6,71,42,1,133,508,,266,23,,,
"Fish sticks, frozen and reheated (10cm x 2.5cm x 1.3cm)",3 sticks,83,227,948,13,20,,,10,2.6,93,17,0.6,485,217,,151,26,,,
"Shrimp, breaded and fried",6 medium,66,160,668,14,8,,,8,1.4,117,44,0.8,227,149,,144,,,,
Tuna salad,125mL,108,203,847,17,10,,,10,1.7,14,18,1.1,435,193,,193,26,,,
,,,,,,,,,,,,,,,,,,,,,
FRUIT AND FRUIT JUICES,,,,,,,,,,,,,,,,,,,,,
FRUIT,,,,,,,,,,,,,,,,,,,,,
Apple with skin (7cm.diam),1,138,72,300,tr,19,14,2.6,tr,,,8,0.2,1,148,7,15,4,6,,
"Applesauce, unsweetened",125mL,129,55,232,tr,15,13,1.5,tr,,,4,0.2,3,97,4,9,1,13,,
"Apricots, dried",6 halves,21,67,281,1,17,,1.2,tr,,,13,1.3,3,389,13,33,133,2,,
"Apricots, raw",3,105,50,211,1,12,10,2.1,tr,,,14,0.4,1,272,11,24,101,11,,
Avocado,1/2 ,101,161,672,2,9,1,6.7,15,,,12,0.6,7,487,29,52,7,10,,
Banana,1,118,105,439,1,27,14,2.1,tr,,,6,0.3,1,422,32,26,4,10,,
Blackberries,125mL,76,33,137,1,7,4,4,tr,,,22,0.5,1,123,15,17,8,16,,
"Blueberries, frozen, unsweetened",125mL,82,42,174,tr,10,7,2.6,1,,,7,0.1,1,44,4,9,2,2,,
"Blueberries, raw",125mL,77,44,182,1,11,8,2,tr,,,5,0.2,1,59,5,9,2,7,,
"Cherries, sweet",10,68,43,179,1,11,9,1.4,tr,,,9,0.2,0,151,7,14,2,5,,
Clementine,1,74,35,146,1,9,7,1.3,tr,,,22,0.1,1,131,7,16,,36,,
"Cranberries, dried, sweetened",60mL,31,95,396,tr,25,20,1.8,tr,,,3,0.2,1,12,2,2,0,tr,,
"Dates, dried",3,25,70,294,1,19,16,2,tr,,,10,0.3,tr,163,11,15,0,tr,,
"Figs, dried",2,17,42,175,1,11,8,1.6,tr,,,27,0.3,2,114,11,11,tr,tr,,
"Figs, raw",1,50,37,155,tr,10,8,1.5,tr,,,18,0.2,1,116,9,7,4,1,,
"Fruit cocktail, canned, juice pack",125mL,125,58,240,1,15,14,1.3,tr,,,10,0.3,5,119,9,18,19,3,,
"Fruit cocktail, canned, light syrup pack",125mL,128,73,304,1,19,18,1.3,tr,,,8,0.4,8,114,6,14,13,2,,
"Fruit salad, tropical, canned, heavy syrup pack",125mL,136,117,489,1,30,,1.8,tr,,,18,0.7,3,178,18,10,8,24,,
"Fruit salad, tropical, canned, juice pack",125mL,131,70,272,1,18,16,1.1,tr,,,17,0.3,4,160,14,10,8,16,,
"Grapefruit, pink or red",1/2 ,123,52,216,1,13,8,2,tr,,,27,0.1,0,166,11,22,71,38,,
"Grapefruit, white",1/2 ,118,39,163,1,10,9,2.1,tr,,,14,0.1,0,175,11,9,2,39,,
Grapes,20,100,69,289,1,18,15,1.2,tr,,,10,0.4,2,191,7,20,3,11,,
Groundcherries,10,49,26,108,1,5,,,tr,,,4,0.5,tr,75,,19,17,5,,
Kiwifruit,1,76,46,194,1,11,7,2.3,tr,,,26,0.2,2,237,13,26,3,70,,
Lychees (litchis),10,96,63,265,1,16,15,1.2,tr,,,5,0.3,1,164,10,30,0,69,,
Mango,1/2 ,104,67,282,1,18,15,1.9,tr,,,10,0.1,2,161,9,11,39,29,,
"Melon, cantaloupe, cubes",125mL,85,29,120,1,7,7,0.6,tr,,,8,0.2,14,226,10,13,143,31,,
"Melon, honeydew, cubes",125mL,90,32,136,tr,8,7,0.7,tr,,,5,0.2,16,205,9,10,3,16,,
"Melon, watermelon, cubes",125mL,80,24,100,tr,6,5,0.3,tr,,,6,0.2,1,90,8,9,22,7,,
Nectarine,1,136,60,250,1,14,11,2.3,tr,,,8,0.4,0,273,12,35,18,7,,
Orange,1,131,62,258,1,15,12,2.3,tr,,,52,0.1,0,237,13,18,8,70,,
"Papaya, cubes",125mL,74,29,121,tr,7,4,1.3,tr,,,18,0.1,2,190,7,4,17,46,,
Peach,1,98,38,160,1,9,8,1.9,tr,,,6,0.2,0,186,9,20,16,6,,
"Peach, canned halves or slices, juice pack",125mL,132,58,243,1,15,14,1.7,tr,,,8,0.4,5,169,9,22,25,5,,
"Peach, canned halves or slices, light syrup pack",125mL,133,72,300,1,19,18,1.7,tr,,,4,0.5,7,129,7,15,24,9,,
"Peach, canned halves or slices, water pack",125mL,129,31,129,1,8,6,1.7,tr,,,3,0.4,4,128,6,13,35,4,,
Pear with skin,1,166,96,403,1,26,16,5,tr,,,15,0.3,2,198,12,18,2,7,,
"Pear, canned halves, juice pack",125mL,131,66,274,tr,17,13,2.1,tr,,,12,0.4,5,126,9,16,0,2,,
"Pear, canned halves, light syrup pack",125mL,133,76,316,tr,20,16,2.1,tr,,,7,0.4,7,88,5,9,0,2,,
"Pear, canned halves, water pack",125mL,128,37,155,tr,10,8,2,tr,,,5,0.3,3,68,5,9,0,1,,
"Pineapple, canned, juice pack",125mL,132,79,330,1,21,19,1.2,tr,,,18,0.4,1,160,18,8,3,12,,
"Pineapple, cubes",125mL,82,42,174,tr,11,8,1.1,tr,,,11,0.2,1,88,10,7,2,46,,
"Plantain, baked or boiled, sliced",125mL,81,94,395,1,25,11,1.9,tr,,,2,0.5,4,378,26,23,37,9,,
Plum,1,66,30,127,tr,8,7,1.1,tr,,,4,0.1,0,104,5,11,11,6,,
Pomegranate (9.5cm diam),1/2 ,77,53,220,1,13,13,0.5,tr,,,2,0.2,2,200,2,6,2,5,,
"Prunes, dried",3,25,60,253,1,16,10,1.8,tr,,,11,0.2,1,184,10,17,10,tr,,
"Prunes, dried, cooked, without added sugar",60mL,63,67,281,1,18,16,3.6,tr,,,12,0.3,1,202,11,19,11,2,,
Raisins,60mL,37,110,460,1,29,22,1.3,tr,,,18,0.7,4,275,12,37,0,1,,
Raspberries,125mL,65,34,141,1,8,3,4.2,tr,,,16,0.4,1,98,14,19,1,17,,
"Rhubarb, frozen, cooked, with added sugar",125mL,127,147,615,tr,40,36,2.5,tr,,,184,0.3,1,122,15,10,5,4,,
Strawberries,7,84,27,113,1,6,4,1.9,tr,,,13,0.4,1,129,11,20,1,49,,
"Strawberries, frozen, unsweetened",125mL,117,41,170,1,11,5,1.8,tr,,,19,0.9,2,173,13,15,2,48,,
Tangerine (mandarin),1,84,45,186,1,11,9,1.5,tr,,,31,0.1,2,139,10,17,11,22,,
"Tangerine (mandarin), canned, juice pack, drained",125mL,100,38,159,1,9,8,1.2,tr,,,12,0.3,5,136,11,11,25,34,,
FRUIT JUICES,,,,,,,,,,,,,,,,,,,,,
"Apple juice, ready-to-drink, vitamin C added",125mL,126,59,249,tr,15,14,0.1,tr,,,9,0.5,4,150,4,9,0,52,,
"Cranberry juice cocktail, ready-to-drink, vitamin C added",125mL,134,76,318,0,19,16,0.1,tr,,,4,0.2,3,24,3,3,0,48,,
"Cranberry juice, unsweetened, ready-to-drink",125mL,134,61,257,1,16,16,0.1,tr,,,11,0.3,3,103,8,17,3,12,,
"Cranberry-apple juice-drink, ready-to-drink, low Calorie, vitamin C added",125mL,127,24,100,tr,6,6,0.1,0,,,13,0.1,6,57,4,1,1,41,,
"Grape juice, frozen, sweetened, diluted, vitamin C added",125mL,132,67,281,tr,17,17,0.1,tr,,,5,0.1,3,28,5,5,0,20,,
"Grape juice, ready-to-drink, vitamin C added",125mL,132,81,337,1,20,20,0.1,tr,,,12,0.3,4,174,13,15,0,32,,
"Grapefruit juice, ready-to-drink unsweetened or freshly squeezed",125mL,130,50,210,1,12,12,0.4,tr,,,10,0.3,1,206,14,17,1,44,,
"Grapefruit juice, ready-to-drink, sweetened",125mL,132,61,254,1,15,15,0.1,tr,,,11,0.5,3,214,13,15,0,36,,
"Lemon juice, canned or bottled",15mL,15,3,14,tr,1,tr,0.1,tr,,,2,tr,3,16,1,1,tr,4,,
"Lime juice, canned or bottled",15mL,16,3,14,tr,1,tr,0.1,tr,,,2,tr,2,12,1,2,tr,1,,
"Nectar, apricot",125mL,133,74,310,tr,19,18,0.8,tr,,,9,0.5,4,151,7,12,88,44,,
"Nectar, mango",125mL,133,68,281,tr,17,17,0.4,tr,,,23,0.5,7,32,4,3,46,20,,
"Orange and grapefruit juice, ready-to-drink",125mL,130,56,235,1,13,13,0.1,tr,,,10,0.6,4,206,13,18,8,38,,
"Orange juice, frozen, diluted",125mL,132,59,247,1,14,11,0.3,tr,,,12,0.1,1,250,13,21,7,51,,
"Orange juice, ready-to-drink",125mL,132,58,242,1,13,,0.3,tr,,,13,0.2,1,250,14,14,5,43,,
"Orange juice, ready-to-drink, refrigerated, vitamin D and calcium added",125mL,132,58,242,1,13,,0.3,tr,,,185,0.2,1,250,14,14,5,43,,
"Orange, strawberry and banana juice, ready-to-drink",125mL,124,57,237,1,15,13,0.2,tr,,,14,0.3,5,124,12,15,1,31,,
"Pineapple juice, ready-to-drink, vitamin C added",125mL,132,74,309,tr,18,13,0.3,tr,,,22,0.3,1,177,17,11,0,32,,
"Pomegranate juice, ready-to-drink",125mL,128,72,300,0,20,17,0,0,,,0,0,5,215,,,0,0,,
"Prune juice, ready-to-drink",125mL,135,96,402,1,24,22,1.4,tr,,,16,1.6,5,373,19,34,0,6,,
,,,,,,,,,,,,,,,,,,,,,
"LEGUMES, NUTS AND SEEDS",,,,,,,,,,,,,,,,,,,,,
MEATLESS PRODUCTS,,,,,,,,,,,,,,,,,,,,,
Meatless breaded chicken nuggets,2,72,168,705,15,6,0,3.1,9,0.8,,30,2.8,288,216,9,176,,,,
Meatless ground beef,75g,75,148,618,16,6,1,3.5,7,1.1,,22,1.6,413,135,14,258,,,,
Soy patty,1,70,136,568,15,5,1,3.2,6,0.8,,20,1.5,385,126,13,241,,,,
"Tofu, regular, firm and extra firm",150g,150,189,791,21,3,1,0,11,1.3,,234,2.4,26,222,56,182,,,,
"Tofu, silken, soft",150g,150,83,345,7,4,2,0.2,4,0.5,,47,1.2,8,270,44,93,,,,
Vegetable patty,1,90,138,576,18,7,,5.7,4,1,,102,3.9,411,432,70,225,,,,
Vegetarian luncheon meat,4 slices,56,106,442,10,2,1,0,6,0.7,,23,1,398,112,13,248,,,,
"Wiener, meatless",1,70,163,682,14,5,0,2.7,10,1.4,,23,1,330,69,13,241,,,,
"BEANS, PEAS AND LENTILS",,,,,,,,,,,,,,,,,,,,,
"Beans, baked, homemade",175mL,187,283,1181,10,40,,10.3,10,3.6,,114,3.7,790,670,80,204,,,,
"Beans, baked, plain or vegetarian, canned",175mL,188,177,738,9,40,17,7.7,1,0.2,,64,2.2,633,408,49,135,,,,
"Beans, baked, with pork, canned",175mL,187,198,829,10,37,,10.4,3,1.1,,99,3.2,775,578,64,202,,,,
"Beans, black, canned, not drained",175mL,178,162,676,11,29,,12.2,1,0.1,,62,3.4,682,547,62,192,,,,
"Beans, kidney, dark red, canned, not drained",175mL,189,161,672,10,30,tr,12.1,1,0.1,,45,2.4,646,487,53,178,,,,
"Beans, navy, canned, not drained",175mL,194,219,917,15,40,1,9.9,1,0.2,,91,3.6,868,558,91,260,,,,
"Beans, pinto, canned, not drained",175mL,178,153,639,9,27,tr,8.2,1,0.3,,76,2.6,522,431,48,163,,,,
"Beans, refried, canned",175mL,186,175,733,10,29,tr,9.9,2,0.9,,65,3.1,557,498,62,160,,,,
"Beans, white, canned, not drained",175mL,194,227,948,14,43,,9.3,1,0.1,,141,5.8,315,880,99,176,,,,
"Black-eyed peas, canned, not drained",175mL,178,137,572,8,24,,5.9,1,0.3,,36,1.7,531,305,50,124,,,,
"Chickpeas (garbanzo beans), canned, not drained",175mL,178,211,884,9,40,,7.8,2,0.2,,57,2.4,531,305,51,160,,,,
"Falafel, homemade",1 ball,17,57,237,2,5,,1.3,3,0.4,,9,0.6,50,99,14,33,,,,
"Hummus, commercial",60mL,57,94,394,4,8,,3.4,5,0.8,,22,1.4,215,129,40,100,,,,
"Lentils, boiled, salted",175mL,146,170,710,13,29,3,6.2,1,0.1,,28,4.9,349,540,53,264,,,,
"Lentils, pink, boiled",175mL,179,190,793,14,32,,5.9,1,0.2,,22,4.1,4,317,39,161,,,,
"Peas, split, boiled",175mL,145,171,715,12,31,4,4.2,1,0.1,,20,1.9,3,525,52,144,,,,
"Soybeans, boiled",175mL,127,220,920,21,13,4,8,11,1.7,,130,6.5,1,655,109,312,,,,
PEANUTS,,,,,,,,,,,,,,,,,,,,,
"Peanut butter, chunk type, fat, sugar and salt added",30mL,32,191,799,8,7,3,2.6,16,2.6,,15,0.6,158,242,52,103,,,,
"Peanut butter, natural",30mL,31,184,770,7,7,1,2.5,16,2.2,,17,0.7,2,207,55,113,,,,
"Peanut butter, smooth type, fat, sugar and salt added",30mL,32,191,798,8,6,3,1.8,16,3.3,,14,0.6,149,210,50,116,,,,
"Peanut butter, smooth type, light",30mL,36,190,794,9,13,3,1.9,12,2.7,,13,0.7,197,244,62,135,,,,
"Peanuts, all types, shelled, oil-roasted, salted",60mL,37,219,915,10,6,2,2.7,19,3.2,,22,0.6,117,265,64,145,,,,
"Peanuts, all types, shelled, roasted",60mL,37,217,906,9,8,2,3,18,2.6,,20,0.8,2,244,65,133,,,,
Nuts,,,,,,,,,,,,,,,,,,,,,
"Almonds, dried",60mL,36,208,870,8,7,2,4.2,18,1.4,,89,1.5,tr,262,99,171,,,,
"Almonds, oil roasted",60mL,40,242,1010,8,7,2,4.2,22,1.7,,116,1.5,tr,278,109,186,,,,
